Wolaytta Gofa
aadhdhiis aadhdhis
aakimiis aakimis
aassiis aassis
aattiis aattis
aawaa aawaa
aawatiis aawatis
achchaa achchaa
achchaa achchaa
achchiis achchis
addettiis addettis
aduqissiis aduqissis
afilaamaa afilaamaa
afuluuqiis afuluuqis
agamasiis agamasis
aggibayiis aggibayis
aggiigiis aggiigis
aggiis aggis
agiis agis
aguriis aguris
ajabiis ajabis
akataa akataa
akeekiis akeekis
akkammiis akkammis
alettiis alettis
alissiis alissis
allaalliis allallis
alleeqissiis alleeqissis
allissiis allissis
amusiis am''usis
ammanettiis ammanettis
amotiis amotis
amoyiis amoyis
amppiis amppis
ancciis anccis
anggatiis anggatis
anhaa anhaa
anhaa anhaa
anjjiis anjjis
anjjulliis anjjullis
annaaciis annaacis
anni anni
anttiis anttis
araciis aracis
arbbaabiis arbbaabis
ariis aris
arppeelliis arppeellis
arqqiis arqqis
ashoyiis ashoyis
ashshiis ashshis
attamiis attamis
atto atto
awaa awaa
awaajjiis awaajjis
awaasiis awaasis
awddashiis aaddashis
awtiya awtiya
awtiya awtiya
axisettiis axisettis
ayfiyan ayfiyan
aylleyiis aylleyis
aylliis ayllis
aymottiis ahumis
ayssiis ayssis
ayzziis ayzzis
azalssiis azalssis
azariis azaris
azaziis azazis
azzanttiis azzanttis
ba ba
baiis bais
baabisiis babisis
baakko baakko
baalotiis baalotis
baaloyiis baaloyis
baanaa baanaa
baariis baaris
baashaariis baashaaris
baasiis baasis
baawiis baawis
baaxetiis baaxetis
baayiis baayis
baggettiis baggettis
balbbuqiis balbbuqis
balettiis balettis
balibakkiis balibakkis
baliis balis
baliis balis
balissiis balissis
balqqiis balqqis
bankkiis bankkis
baqqi baqqi
baqqi baqqi
baqqiis baqqis
bariis baris
barssiis barssis
bashshiis bashshis
batibatiis batibatis
battiis battis
bawiis bawis
baxuuxi baxuuxi
baxuuxi baxuuxi
baxuuxiis baxuuxis
baxxanniis baxxannis
baxxiis baxxis
bayrayiis bayrayis
bayzziis bayzzis
bazziis bazzis
beiis beis
beegoyiis beegoyis
beezummiis beezummis
beliis belis
bessiis bessis
biddiis biddis
biittaa biittaa
biittaa biittaa
biittaa biittaa
biittaa biittaa
biittaa biittaa
biittaa biittaa
biittan biittan
bikiliis bikilis
bilanddiis bilanddis
binddibilliis binddibillis
binddilliis binddillis
biradhdhiis biradhdhis
birassiis birassis
birazziis birazzis
birshshiis birshshis
birxxottiis birxxottis
bitiis bitis
bixaa bixaa
bixaaliis bixaalis
biyosaa biyosaa
bocciis boccis
bochchiis bochchis
bociis bocis
boggiis boggis
boggiis boggis
bohettiis bohettis
bohiis bohis
bolettiis bolettis
boliis bol''is
boliis bolis
bolkkayiis bolkkayis
bollotiis bollotis
bolqqu bolqqu
bonchchiis bonchchis
bonggoyiis bonggoyis
bonqqiis bonqqis
bonqqiis bonqqis
booiis boois
booddiis booddis
boohettiis boohettis
bookkiis bookkis
boolimissiis boolimissis
boossiis boossis
boriis boris
borinashshiis borinashshis
borkkotiis borkkotis
boroshshiis boroshshis
bosherettiis bosherethis
bottokoniis bottokonis
boxooxiis boxooxis
bubbuxiis bubbuxis
buliis bulis
bulakkiis bulakkis
buliis bulis
bulhhayiis bulhhayis
bullachchiis bullachchis
bulxxiis bulxxis
bunchchiis bunchchis
bundduruuqiis bundduruuqis
buniis bunis
buqiis buqis
buraatiis buraatis
burchchiis burchchis
burxxakkiis burxxakkis
burxxiis burxxis
busakkiis busakkis
buttiis buttis
buucciis buuccis
buulliis buullis
buulliis buullis
buuraa buuraa
buuriis buuris
buzoyiis buzoyis
caalettiis caalettis
caaniis caanis
caaniis caanis
caaqqiis caaqqis
caariis caaris
cabbottiis cabbottis
caccafiis caccafis
cadakkiis cadakkis
caddiis caddis
caddiis caddis
cadhdhekkiis cadhdhekkis
cakkiis cakkis
calliis callis
cambbiis cambbis
carbbabattiis carbbabattis
carppiis carppis
carqqayiis carqqayis
cashiis cashis
catakai catakai
